year_built,yearly_unit_count,yearly_square_footage,average_unit_size
0,101125,143302544,1417.08325339926
1890,6,4626,771.0
1894,1,1630,1630.0
1900,2837,4285295,1510.50229115263
1901,1447,1786133,1234.36973047685
1902,1066,1561579,1464.89587242026
1903,1049,1732962,1652.01334604385
1904,1538,2545048,1654.77763328999
1905,1948,3145087,1614.52104722793
1906,2990,4654333,1556.63311036789
1907,3045,4102302,1347.22561576355
1908,4128,5420439,1313.09084302326
1909,3593,5224423,1454.05594210966
1910,5669,7186218,1267.63415064385
1911,2425,3688696,1521.11175257732
1912,2269,3706979,1633.7501101807
1913,1651,2974127,1801.4094488189
1914,2329,3550193,1524.34220695578
1915,1704,2787886,1636.08333333333
1916,2660,3734661,1404.00789473684
1917,1231,1803248,1464.86433793664
1918,3711,5273156,1420.95284289949
1919,2326,3728286,1602.87446259673
1920,3114,4659654,1496.35645472062
1921,1930,3302409,1711.09274611399
1922,2662,4132809,1552.52028549962
1923,3049,4340892,1423.71006887504
1924,4104,6164324,1502.02826510721
1925,5577,7692969,1379.40989779451
1926,5620,8480036,1508.90320284698
1927,3784,6006123,1587.24180761099
1928,6131,8032272,1310.10797586038
1929,3420,4958495,1449.85233918129
1930,3698,5252430,1420.34342888048
1931,1465,2591749,1769.11194539249
1932,992,1603766,1616.69959677419
1933,729,1215456,1667.29218106996
1934,873,1308175,1498.48224513173
1935,758,1311275,1729.91424802111
1936,1303,2365306,1815.27705295472
1937,1770,3115854,1760.36949152542
1938,1746,2876777,1647.63860252005
1939,2379,4080583,1715.25136612022
1940,4001,6455682,1613.51712071982
1941,4720,7407379,1569.35995762712
1942,6261,8512704,1359.63967417345
1943,3783,4935977,1304.7784826857
1944,3615,4808865,1330.2531120332
1945,2383,3472978,1457.39739823752
1946,3343,5332203,1595.03529763685
1947,6841,10250420,1498.38035374945
1948,7162,10217011,1426.55836358559
1949,5902,8521468,1443.82717722806
1950,6945,10859443,1563.6347012239
1951,6057,9731860,1606.71289417203
1952,6100,9959138,1632.64557377049
1953,6287,10141371,1613.06998568475
1954,8604,13288399,1544.44432821943
1955,9109,14222099,1561.3238555275
1956,6051,9968426,1647.40142125269
1957,6743,10177821,1509.39062731722
1958,8657,13020447,1504.03684879288
1959,11380,16927784,1487.50298769772
1960,7856,12199211,1552.85272403259
1961,7708,13017758,1688.86325895174
1962,11257,17776610,1579.16052234165
1963,10734,17860688,1663.9359046022
1964,6865,10522822,1532.82184996358
1965,7252,12059806,1662.96276889134
1966,10893,16671937,1530.51840631598
1967,15532,22672441,1459.72450424929
1968,19586,26015184,1328.25405902175
1969,13308,16927663,1271.99150886685
1970,7247,9027947,1245.74955153857
1971,4626,6060581,1310.11262429745
1972,4766,8733026,1832.35963071758
1973,4564,8549700,1873.29097283085
1974,5318,9562569,1798.1513726965
1975,6129,10993230,1793.64170337739
1976,9462,15691842,1658.40646797717
1977,14081,24154443,1715.39258575385
1978,14725,24686290,1676.4882852292
1979,11600,19897833,1715.33043103448
1980,9538,15046677,1577.55053470329
1981,8956,13437132,1500.34970969183
1982,4436,7319975,1650.12962128043
1983,8003,13120891,1639.49656378858
1984,9146,15375602,1681.12858080035
1985,11193,16217227,1448.87224157956
1986,12313,17590556,1428.61658409811
1987,13322,21232396,1593.78441675424
1988,14546,22355814,1536.9045785783
1989,15803,24824687,1570.88445231918
1990,15096,25283254,1674.83134605193
1991,8804,15692915,1782.47557928214
1992,7820,14196633,1815.42621483376
1993,6424,12438053,1936.1850871731
1994,7134,13886295,1946.49495374264
1995,5496,11398614,2073.98362445415
1996,6795,13278321,1954.13112582781
1997,8014,14006576,1747.76341402546
1998,8658,16652738,1923.39316239316
1999,8962,17272345,1927.28687792903
2000,8994,16352833,1818.19357349344
2001,10408,19573369,1880.60808993082
2002,7285,14285040,1960.8840082361
2003,9587,21262760,2217.87420465213
2004,9819,21576971,2197.47133109278
2005,11361,23012698,2025.58736026758
2006,10855,22773549,2097.97779824965
2007,9827,20503703,2086.46616464842
2008,12358,19430049,1572.26484868102
2009,6102,9259212,1517.40609636185
2010,4888,8173846,1672.22708674304
2011,4261,7857427,1844.03356019714
2012,8333,12342777,1481.19248769951
2013,7005,13098053,1869.81484653819
2014,18270,21409268,1171.82638204707
2015,15525,19564838,1260.21500805153
2016,16450,21435126,1303.04717325228
2017,15641,19016906,1215.83696694585
