year_built,yearly_unit_count,yearly_square_footage,average_unit_size,population
1900,2210,3286498,1487.10316742081,80671
1901,1393,1699880,1220.30150753769,96323.3
1902,983,1430281,1455.01627670397,111975.6
1903,934,1531064,1639.25481798715,127627.9
1904,1388,2317170,1669.43083573487,143280.2
1905,1843,2968926,1610.92023874118,158932.5
1906,2973,4459484,1499.99461823074,174584.8
1907,3140,3970339,1264.43917197452,190237.1
1908,4083,4998940,1224.33014939995,205889.4
1909,3585,5019260,1400.07252440725,221541.7
1910,5322,6506744,1222.6125516723,237194
1911,2365,3418554,1445.47737843552,245005.8
1912,1942,3174821,1634.82028836251,252817.6
1913,1255,2377732,1894.60717131474,260629.4
1914,2128,3134131,1472.80592105263,268441.2
1915,1394,2267112,1626.33572453372,276253.0
1916,2379,3279647,1378.58217738546,284064.8
1917,997,1472861,1477.29287863591,291876.6
1918,2962,4087612,1380.0175557056,299688.4
1919,2027,3262134,1609.34089787864,307500.2
1920,2100,3157100,1503.38095238095,315312
1921,1549,2702449,1744.64105874758,320339.1
1922,2329,3393378,1457.0107342207,325366.2
1923,2523,3508228,1390.49861276258,330393.3
1924,3574,5338783,1493.78371572468,335420.4
1925,4940,6759288,1368.27692307692,340447.5
1926,5101,7580021,1485.98725740051,345474.6
1927,3388,5349254,1578.88252656434,350501.7
1928,5549,6845425,1233.63218597946,355528.8
1929,2957,4228588,1430.0263780859,360555.9
1930,2746,3743965,1363.4249817917,365583
1931,1083,1946417,1797.24561403509,365854.9
1932,472,789361,1672.375,366126.8
1933,228,434656,1906.38596491228,366398.7
1934,459,649054,1414.06100217865,366670.6
1935,304,583808,1920.42105263158,366942.5
1936,644,1336435,2075.20962732919,367214.4
1937,1059,2013324,1901.15580736544,367486.3
1938,1024,1781864,1740.1015625,367758.2
1939,1543,2817017,1825.67530784187,368030.1
1940,2876,4764220,1656.5438108484,368302
1941,3510,5622060,1601.7264957265,378230.9
1942,3605,5001904,1387.4907073509,388159.8
1943,1627,2025188,1244.73755377996,398088.7
1944,1873,2569443,1371.83288841431,408017.6
1945,1520,2204161,1450.10592105263,417946.5
1946,1903,3188218,1675.36416184971,427875.4
1947,4682,6764303,1444.74647586501,437804.3
1948,3896,5689660,1460.38501026694,447733.2
1949,3774,5081261,1346.38606253312,457662.1
1950,4179,6409814,1533.81526681024,467591
1951,3709,5766704,1554.78673496899,476540.6
1952,3091,4994884,1615.94435457781,485490.2
1953,2741,4390760,1601.88252462605,494439.8
1954,3649,5221427,1430.91997807619,503389.4
1955,3364,4544922,1351.04696789536,512339.0
1956,2522,3522683,1396.78152260111,521288.6
1957,2890,3450332,1193.88650519031,530238.2
1958,3191,3731983,1169.53400188029,539187.8
1959,3285,3968174,1207.96773211568,548137.4
1960,2629,3209826,1220.93039178395,557087
1961,2126,2711012,1275.17027281279,554461.4
1962,3108,3632471,1168.74871299871,551835.8
1963,4061,5798808,1427.92612656981,549210.2
1964,2315,2633000,1137.36501079914,546584.6
1965,2458,2670671,1086.52196908055,543959.0
1966,2327,2583286,1110.13579716373,541333.4
1967,3296,3327242,1009.47876213592,538707.8
1968,3911,3890827,994.841984147277,536082.2
1969,2510,2263566,901.819123505976,533456.6
1970,2125,2005967,943.984470588235,530831
1971,1444,1356848,939.645429362881,527132.5
1972,1265,1287230,1017.57312252964,523434
1973,720,928456,1289.52222222222,519735.5
1974,469,711976,1518.07249466951,516037
1975,749,1129426,1507.91188251001,512338.5
1976,1063,1338677,1259.33866415804,508640
1977,1454,2038699,1402.13136176066,504941.5
1978,1766,2133849,1208.29501698754,501243
1979,1773,2070523,1167.80767061478,497544.5
1980,1504,1808625,1202.54321808511,493846
1981,1026,1158722,1129.35867446394,496087.3
1982,553,872521,1577.79566003617,498328.6
1983,893,1121599,1255.98992161254,500569.9
1984,1550,1807353,1166.03419354839,502811.2
1985,1527,1749973,1146.02030124427,505052.5
1986,1790,1892451,1057.23519553073,507293.8
1987,2741,2861192,1043.8496898942,509535.1
1988,2735,2787173,1019.0760511883,511776.4
1989,2202,2267456,1029.72570390554,514017.7
1990,2831,2987901,1055.42246555987,516259
1991,1785,2125308,1190.6487394958,520970.5
1992,1466,1728270,1178.90177353342,525682
1993,1450,1783990,1230.33793103448,530393.5
1994,1787,1939542,1085.36205931729,535105
1995,1107,1597892,1443.44354110208,539816.5
1996,1191,1610423,1352.16036943745,544528
1997,1375,1696691,1233.95709090909,549239.5
1998,2031,2408939,1186.08517971443,553951
1999,2162,2543427,1176.42321924144,558662.5
2000,2634,3098238,1176.24829157175,563374
2001,3485,3832718,1099.7756097561,
2002,1951,2571153,1317.86417221937,
2003,2224,3066042,1378.61600719424,
2004,2077,2959951,1425.10881078479,
2005,3460,4599867,1329.44132947977,
2006,4812,6125116,1272.88362427265,
2007,4207,5675492,1349.05918706917,
2008,6970,7925689,1137.11463414634,
2009,3407,3636592,1067.38831816848,
2010,3388,2865979,845.920602125148,608660
2011,2430,2604107,1071.64897119342,622323
2012,6364,5083787,798.835166561911,635306
2013,3930,3933029,1000.77073791349,653095
2014,15160,11750582,775.104353562005,667963
2015,12057,9901372,821.213568881148,683505
2016,11474,9950285,867.202806344779,704352
2017,9532,8166845,856.781892572388,
