year_built,yearly_unit_count,yearly_square_footage,average_unit_size
0,101125,143302544,1417.08325339926
1890,6,771,128.5
1894,1,1630,1630.0
1900,2837,3955659,1394.31053930208
1901,1447,1414116,977.274360746372
1902,1066,1411193,1323.82082551595
1903,1049,1648315,1571.32030505243
1904,1538,2412783,1568.77958387516
1905,1948,2937521,1507.96765913758
1906,2990,4272155,1428.8143812709
1907,3045,3435576,1128.26798029557
1908,4128,4629922,1121.58963178295
1909,3593,4566496,1270.94238797662
1910,5669,6039578,1065.36920091727
1911,2425,3444695,1420.49278350515
1912,2269,3532747,1556.96209784046
1913,1651,2918164,1767.51302241066
1914,2329,3251458,1396.07471017604
1915,1704,2682595,1574.29284037559
1916,2660,3420901,1286.0530075188
1917,1231,1683584,1367.65556458164
1918,3711,5025947,1354.33764483967
1919,2326,3665887,1576.04772141015
1920,3114,4522842,1452.42196531792
1921,1930,3232206,1674.71813471503
1922,2662,3857145,1448.96506386176
1923,3049,3862833,1266.91800590358
1924,4104,5661541,1379.51778752437
1925,5577,6725495,1205.93419401112
1926,5620,7727669,1375.03007117438
1927,3784,5514701,1457.37341437632
1928,6131,6626580,1080.83183819931
1929,3420,4306280,1259.14619883041
1930,3698,4653462,1258.37263385614
1931,1465,2533844,1729.58634812287
1932,992,1564071,1576.68447580645
1933,729,1087116,1491.24279835391
1934,873,1081497,1238.82817869416
1935,758,1305215,1721.91952506596
1936,1303,2342385,1797.68610897928
1937,1770,3089783,1745.64011299435
1938,1746,2862218,1639.30011454754
1939,2379,4062177,1707.51450189155
1940,4001,6362881,1590.32266933267
1941,4720,7329782,1552.91991525424
1942,6261,8448185,1349.33477080339
1943,3783,4847323,1281.34364261168
1944,3615,4763599,1317.73139695712
1945,2383,3422127,1436.05832983634
1946,3343,5213889,1559.6437331738
1947,6841,9751915,1425.51015933343
1948,7162,9157701,1278.65135437029
1949,5902,7781438,1318.44086750254
1950,6945,10468599,1507.35766738661
1951,6057,9279527,1532.03351494139
1952,6100,9710523,1591.88901639344
1953,6287,9886865,1572.58867504374
1954,8604,12488074,1451.42654579265
1955,9109,13335160,1463.95433088155
1956,6051,9374947,1549.32193025946
1957,6743,9060291,1343.65875722972
1958,8657,11599297,1339.87489892572
1959,11380,14601850,1283.1151142355
1960,7856,10860563,1382.45455702648
1961,7708,12180670,1580.26336274001
1962,11257,15712498,1395.79799236031
1963,10734,13673819,1273.87916899571
1964,6865,8843214,1288.15935906773
1965,7252,10546983,1454.35507446222
1966,10893,13917122,1277.62067382723
1967,15532,17729587,1141.48770280711
1968,19586,18612579,950.300163382008
1969,13308,11925223,896.094304177938
1970,7247,6259736,863.76928384159
1971,4626,4607039,995.90121054907
1972,4766,8101114,1699.77213596307
1973,4564,7855805,1721.25438212095
1974,5318,8614652,1619.90447536668
1975,6129,10128605,1652.57056616087
1976,9462,13645312,1442.11709997886
1977,14081,21320033,1514.09935373908
1978,14725,20875733,1417.70682512733
1979,11600,17127769,1476.53181034483
1980,9538,12240380,1283.32774166492
1981,8956,10634916,1187.46270656543
1982,4436,5950582,1341.4296663661
1983,8003,11084392,1385.02961389479
1984,9146,12811194,1400.7428383993
1985,11193,11496214,1027.08960957741
1986,12313,12439651,1010.28595793064
1987,13322,16384019,1229.84679477556
1988,14546,15514784,1066.60140244741
1989,15803,17744352,1122.84705435677
1990,15096,18787305,1244.52205882353
1991,8804,12197186,1385.41412994094
1992,7820,11983552,1532.42352941176
1993,6424,10997836,1711.99190535492
1994,7134,12643236,1772.25063078217
1995,5496,10473628,1905.68195050946
1996,6795,11809121,1737.91331861663
1997,8014,11230213,1401.32430746194
1998,8658,14245946,1645.40840840841
1999,8962,14452242,1612.61347913412
2000,8994,12759082,1418.62152546142
2001,10408,15803903,1518.43802843966
2002,7285,12232938,1679.19533287577
2003,9587,19478332,2031.74423698759
2004,9819,19888444,2025.50605968021
2005,11361,19969803,1757.75046210721
2006,10855,19784070,1822.57669276831
2007,9827,17687539,1799.8920321563
2008,12358,13924804,1126.78459297621
2009,6102,6732383,1103.30760406424
2010,4888,6712135,1373.18637479542
2011,4261,6626476,1555.14574043652
2012,8333,8935291,1072.27781111244
2013,7005,11097614,1584.24182726624
2014,18270,11433257,625.794033935413
2015,15525,11856801,763.72309178744
2016,16450,13219087,803.591914893617
2017,15641,10749416,687.258870916182
